neduc,ocup,yper_1,yper_2,yper_3,yper_4,yper_5,yper_6,yper_7
"1,2,3",1,e,e,d,c3,c3,c2,c2
"1,2,3",2,e,d,d,c3,c3,c2,c2
"4,5",1,e,d,d,c3,c2,c2,c2
"1,2,3","3,4,5,10",e,d,d,c3,c2,c2,c2
"4,5",2,e,d,d,c3,c2,c2,c2
"1,2",6,e,d,d,c3,c2,c2,c2
"4,5","3,4,5,10",e,d,d,c3,c2,c2,c1b
3,6,e,d,d,c3,c2,c2,c1b
"6,7,8",1,e,d,d,c3,c2,c2,c1b
"1,2",7,e,d,d,c3,c2,c2,c1b
"4,5",6,e,d,d,c3,c2,c2,c1b
"1,2",7,e,d,d,c3,c2,c2,c1b
"4,5",6,e,d,d,c3,c2,c2,c1b
3,7,e,d,d,c3,c2,c2,c1b
"6,7,8",2,d,d,c3,c3,c2,c1b,c1b
"6,7,8","3,4,5,10",d,d,c3,c2,c2,c1b,c1b
"4,5",7,d,d,c3,c2,c2,c1b,c1b
"9,10",1,d,d,c3,c2,c2,c1b,c1b
"1,2","8,9",d,d,c3,c2,c2,c1b,c1b
"6,7,8",6,d,d,c3,c2,c2,c1b,c1b
3,"8,9",d,d,c3,c2,c1b,c1b,c1b
"9,10","2,3,4,5,10",d,c3,c3,c2,c1b,c1b,c1b
"4,5","8,9",d,c3,c3,c2,c1b,c1b,c1a
"6,7,8",7,d,c3,c3,c2,c1b,c1b,c1a
"9,10",6,d,c3,c2,c2,c1b,c1b,c1a
"6,7,8","8,9",d,c3,c2,c2,c1b,c1a,c1a
"9,10",7,d,c3,c2,c2,c1b,c1a,c1a
"9,10","8,9",c3,c3,c2,c1b,c1a,c1a,ab
