lower,upper,personas,tramo
0,120,1,1
120,207,1,2
208,361,1,3
362,630,1,4
631,1099,1,5
1100,1916,1,6
1916,9999999999999,1,7
0,194,2,1
194,336,2,2
337,586,2,3
587,1023,2,4
1024,1785,2,5
1786,3113,2,6
3113,9999999999999,2,7
0,257,3,1
258,446,3,2
447,779,3,3
780,1359,3,4
1360,2370,3,5
2371,4135,3,6
4135,9999999999999,3,7
0,314,4,1
314,546,4,2
547,953,4,3
954,1662,4,4
1663,2899,4,5
2900,5057,4,6
5057,9999999999999,4,7
0,367,5,1
367,638,5,2
639,1114,5,3
1115,1943,5,4
1944,3389,5,5
3390,5912,5,6
5912,9999999999999,5,7
0,417,6,1
417,725,6,2
726,1265,6,3
1266,2207,6,4
2208,3850,6,5
3851,6717,6,6
6717,9999999999999,6,7
0,464,7,1
464,808,7,2
809,1409,7,3
1410,2459,7,4
2460,4289,7,5
4290,7482,7,6
7482,9999999999999,7,7
